zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,total_price,price_log
90402,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,225.0,5.416100402204419
90291,Cottage,Entire home/apt,2,1.0,1.0,1.0,Real Bed,270.0,5.598421958998375
90403,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,120.0,4.787491742782046
90272,Villa,Entire home/apt,8,6.0,5.0,5.0,Real Bed,5000.0,8.517193191416238
90401,Apartment,Entire home/apt,2,1.0,1.0,0.0,Real Bed,185.0,5.220355825078324
90402,House,Entire home/apt,7,4.5,4.0,5.0,Real Bed,1200.0,7.090076835776093
90025,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,286.0,5.655991810819852
90272,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,110.0,4.700480365792417
90049,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,260.0,5.5606816310155285
90015,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,479.0,6.171700597410915
90272,House,Private room,4,2.0,2.0,2.0,Real Bed,225.0,5.416100402204419
90272,House,Private room,3,1.5,1.0,1.0,Real Bed,203.0,5.313205979041787
90402,Apartment,Private room,4,2.0,2.0,2.0,Real Bed,405.0,6.003887067106539
90015,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,429.0,6.061456918928018
90014,Loft,Entire home/apt,3,1.0,1.0,1.0,Real Bed,225.0,5.416100402204419
90015,Apartment,Entire home/apt,7,2.0,2.0,2.0,Real Bed,559.0,6.326149473155099
90291,House,Entire home/apt,3,1.0,2.0,2.0,Real Bed,349.0,5.855071922202427
90025,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,362.0,5.891644211825772
90024,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,245.0,5.5012582105447265
90404,House,Private room,2,1.0,1.0,1.0,Real Bed,100.0,4.605170185988092
90291,Cottage,Entire home/apt,2,1.0,1.0,1.0,Real Bed,395.0,5.978885764901122
90017,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,280.0,5.634789603169249
90291,Bungalow,Entire home/apt,5,2.0,2.0,2.0,Real Bed,305.0,5.720311776607412
90024,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,315.0,5.752572638825632
90024,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,315.0,5.752572638825632
90024,Apartment,Entire home/apt,8,2.0,2.0,4.0,Real Bed,396.0,5.9814142112544815
90272,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,404.0,6.001414877961151
90025,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,236.0,5.4638318050256105
90272,House,Private room,2,1.5,1.0,1.0,Real Bed,170.0,5.135798437050261
90014,Loft,Entire home/apt,5,1.0,0.0,2.0,Real Bed,167.0,5.1179938124167546
90016,Apartment,Entire home/apt,3,1.0,1.0,0.0,Real Bed,124.0,4.820281565605037
90014,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,210.0,5.3471075307174685
90272,Guest suite,Entire home/apt,5,1.0,2.0,2.0,Real Bed,248.0,5.513428746164983
90025,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,238.0,5.472270673671474
90291,House,Entire home/apt,6,2.0,3.0,6.0,Real Bed,800.0,6.684611727667928
90025,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,104.0,4.6443908991413725
90015,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,344.0,5.840641657373397
90015,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,344.0,5.840641657373397
90025,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,94.0,4.543294782270004
90291,Bungalow,Entire home/apt,4,1.0,2.0,3.0,Real Bed,400.0,5.991464547107983
90015,Apartment,Entire home/apt,6,3.0,3.0,3.0,Real Bed,1149.0,7.0466472778487566
90014,Serviced apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,250.0,5.521460917862246
90025,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,268.0,5.5909869805108565
90016,Condominium,Entire home/apt,5,1.0,2.0,2.0,Real Bed,278.0,5.627621113690636
90291,Guesthouse,Entire home/apt,2,1.0,0.0,0.0,Real Bed,190.0,5.247024072160486
90291,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,449.0,6.107022887742255
90025,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,200.0,5.298317366548036
90291,House,Entire home/apt,6,2.0,2.0,2.0,Real Bed,284.0,5.648974238161206
90291,Bungalow,Entire home/apt,6,2.0,2.0,2.0,Real Bed,340.0,5.828945617610208
90025,Apartment,Entire home/apt,5,1.0,2.0,4.0,Real Bed,155.0,5.043425116919247
90292,Apartment,Entire home/apt,6,2.0,2.0,5.0,Real Bed,469.0,6.150602768446278
90291,Guesthouse,Private room,1,1.0,1.0,0.0,Real Bed,160.0,5.0751738152338275
90265,Condominium,Entire home/apt,4,1.0,1.0,1.0,Real Bed,914.0,6.8178305714541505
90292,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,374.0,5.924255797414531
90025,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,189.0,5.2417470150596435
90016,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,260.0,5.5606816310155285
90016,Bungalow,Entire home/apt,5,1.0,1.0,3.0,Real Bed,210.0,5.3471075307174685
90025,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,85.0,4.442651256490317
90015,Apartment,Entire home/apt,8,2.0,2.0,4.0,Real Bed,448.0,6.104793232414986
90025,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,345.0,5.843544417031361
90291,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,290.0,5.66988092298052
90292,Townhouse,Entire home/apt,6,1.0,3.0,4.0,Real Bed,1100.0,7.0030654587864625
90265,Tiny house,Entire home/apt,2,1.0,1.0,1.0,Real Bed,240.0,5.48063892334199
90265,Camper/RV,Entire home/apt,6,1.0,1.0,2.0,Real Bed,275.0,5.616771097666573
90265,Villa,Entire home/apt,10,7.0,5.0,6.0,Real Bed,5500.0,8.612503371220562
90066,Guesthouse,Entire home/apt,2,1.0,0.0,0.0,Real Bed,150.0,5.010635294096256
